Date,Close/Last,Volume,Open,High,Low,,,
 07/02/2021 ,2587,421,2543,2588.25,2543,07,02,2021
07/01/2021,2536,839,2532.5,2537.75,2519.5,,,
06/30/2021,2550,128,2579.25,2579.25,2533.75,,,
06/29/2021,2570.25,262,2558.5,2575,2558.5,,,
06/28/2021,2515.25,91,2503.75,2531.5,2499,,,
05/20/2021,2519.5,9,2404,2404,2404,,,
05/19/2021,2434,6,2434,2434,2434,,,
05/13/2021,2439.75,10,2460.25,2460.25,2460.25,,,
05/12/2021,2518.75,37,2567.5,2567.5,2567.5,,,
05/07/2021,2548,2,2553.75,2553.75,2553.75,,,
05/06/2021,2511,2,2494.75,2494.75,2494.75,,,
05/05/2021,2464.25,24,2455.5,2455.5,2453,,,
04/29/2021,2441,3,2413.75,2419,2411.25,,,
04/28/2021,2408.75,13,2405,2418,2405,,,
04/27/2021,2411.5,25,2411,2411,2408,,,
04/23/2021,2419.5,26,2401,2401,2392.25,,,
04/22/2021,2382.75,2,2385.25,2385.25,2374.5,,,
04/21/2021,2391.25,5,2341,2341,2340,,,
04/20/2021,2332.75,3,2356.75,2356.75,2337,,,
04/19/2021,2352.75,37,2371.25,2371.25,2366.5,,,
04/15/2021,2361,8,2366,2361,2361,,,
04/14/2021,2348.5,215,2330.25,2349,2325.75,,,
04/13/2021,2316.5,1116,2303,2316.5,2303,,,
04/12/2021,2282,1229,2282,2289.75,2281.5,,,
04/09/2021,2278.75,80,2293.25,2293.25,2276.75,,,
04/08/2021,2302.5,685,2288,2303,2288,,,
04/07/2021,2278.25,490,2279.25,2280,2264.75,,,
04/06/2021,2285.75,832,2274,2277.5,2277.5,,,
04/01/2021,2246.5,1150,2247.25,2251.5,2244.5,,,
03/30/2021,2249.25,1,2246.5,2246.5,2246.5,,,
03/29/2021,2289.5,48,2305.5,2306.25,2286,,,
03/26/2021,2307.5,14,2284.5,2302.75,2284.5,,,
03/25/2021,2259,366,2250.75,2266.75,2253.5,,,
03/24/2021,2260.25,145,2264.75,2274,2263,,,
03/22/2021,2295.25,294,2300.25,2315.75,2289.75,,,
03/19/2021,2268,710,2240,2303.25,2240,,,
03/18/2021,2244.25,289,2243.5,2252.75,2237.25,,,
03/16/2021,2223.25,284,2240.75,2245.5,2216.5,,,
03/10/2021,2192.75,431,2204.5,2204.5,2190.5,,,
03/09/2021,2190.5,454,2165.5,2195.25,2165.5,,,
03/08/2021,2196,94,2207,2207,2178.25,,,
03/05/2021,2200.25,187,2196.5,2203.5,2174.25,,,
03/04/2021,2191.5,227,2198.75,2201.75,2166.25,,,
02/04/2021,2001.25,10,1989.5,1989.5,1985.75,,,
02/03/2021,1986.75,5,1971.75,1971.75,1971.75,,,
01/26/2021,2030.25,5,2027.5,2027.5,2027.5,,,
01/21/2021,2011,10,2005.5,2008.25,2005,,,
01/20/2021,1987,4,1984.5,1995.25,1984.5,,,
01/19/2021,1967.5,34,1963.5,1964,1963.5,,,
01/15/2021,1984.75,44,1984.75,1984.75,1984.75,,,
01/14/2021,2009.25,26,2013,2013,2009.25,,,
01/13/2021,2015.75,20,2016.75,2018.25,2016.5,,,
01/12/2021,2023.75,63,2022,2028,2022,,,
