Date,Close/Last,Volume,Open,High,Low
07/02/2021,2792.5,1125,2759,2812.5,2758
07/01/2021,2768.9,1076,2789,2802,2751
06/30/2021,2779.2,1526,2683,2793,2670
06/29/2021,2681.2,876,2696,2699.5,2663.5
06/28/2021,2699.4,1112,2634,2704.5,2630
06/25/2021,2637.2,777,2634.5,2660.5,2612.5
06/24/2021,2643.9,883,2609.5,2656.5,2604
06/23/2021,2630.5,1138,2544,2637,2544
06/22/2021,2558.9,1164,2579.5,2607,2535
06/21/2021,2558.3,1776,2472,2588,2468
06/19/2021,2469.9,N/A,2469.9,2469.9,2469.9
06/18/2021,2469.9,2766,2488,2595,2452
06/17/2021,2512.2,4306,2799.5,2808.5,2484.5
06/16/2021,2836.8,1601,2769.5,2843,2753.5
06/15/2021,2764.8,804,2756.5,2769,2740
06/14/2021,2756.6,797,2784.5,2784.5,2746
06/11/2021,2780.8,857,2778,2814,2767.5
06/10/2021,2777.7,821,2781,2786,2736
06/09/2021,2772.8,710,2805.5,2823,2766.5
06/08/2021,2807,1189,2833.5,2849,2750
06/07/2021,2837.7,629,2839,2847,2822
06/04/2021,2842.2,1000,2848.5,2849.5,2813
06/03/2021,2826.6,1343,2855,2875,2796
06/02/2021,2868.6,786,2868,2875.5,2835.5
06/01/2021,2863.2,1470,2828.5,2871.5,2863
05/28/2021,2830.1,1241,2807,2843,2780
05/27/2021,2810.5,2312,2743.5,2847,2733
05/26/2021,2752.7,2760,2780,2814,2734
05/25/2021,2785.9,2447,2734.5,2795,2734.5
05/24/2021,2739.2,1665,2780,2825,2734
05/21/2021,2784.7,2243,2860,2885,2778
05/20/2021,2879.4,1644,2883.5,2906.5,2858.5
05/19/2021,2884.8,2998,2910.5,2917.5,2848
05/18/2021,2903.1,1911,2903,2941,2893.5
05/17/2021,2895.9,1533,2887.5,2909,2877
05/14/2021,2894.6,1357,2868,2926.5,2855.5
05/13/2021,2864.6,2088,2859.5,2901,2798.5
05/12/2021,2849,2251,2943,2960,2845
05/11/2021,2926.2,1941,2956,2986.5,2910.5
05/10/2021,2968.2,2539,2915.5,3000,2915.5
05/07/2021,2925.1,2515,2938.5,2965,2823.5
05/06/2021,2947.4,2276,2974.5,2992,2899.5
05/05/2021,2972.8,1314,2986,3010,2952.5
