Fire No.,Geographic,Discovery Date,Hectares,Latitude,Longitude,Latitude,Longitude
V10859,Eleven Mile Creek,"Jun 20, 2021",42,49° 19.438,121° 16.983,50.53,-124.00
V11341,Skowkona,"Jul 3, 2021",1.9,53° 18.925,132° 07.264,55.87,-132.85
V31386,Pemberton Portage Road,"Jul 4, 2021",0.23,50° 31.377,122° 29.797,51.56,-124.70
V31497,Wade Creek,"Jul 5, 2021",0.1,50° 33.117,122° 25.728,50.88,-124.44
V50948,Daniels River,"Jun 27, 2021",2.5,50° 16.057,124° 23.893,50.43,-126.86
V81401,North Tahsish,"Jul 4, 2021",0.4,50° 15.578,127° 05.717,51.86,-129.08
R11120,Pinkut Creek,"Jun 30, 2021",4.3,54° 23.781,125° 26.536,56.55,-126.92
R51445,"5km N of Bell II Lodge, E side of Hwy","Jul 4, 2021",0.2,56° 47.470,129° 55.754,58.09,-132.01
R91466,Tees Creek,"Jul 5, 2021",0.16,58° 07.958,129° 52.094,60.78,-130.13
R91496,N end of Spatsizi Provincial Park,"Jul 5, 2021",1.5,57° 52.007,129° 17.587,57.89,-130.91
G11126,Chilako,"Jun 30, 2021","1,471.00",53° 30.027,123° 58.440,53.58,-125.19
G11185,Carp Lake,"Jul 1, 2021",2,54° 46.460,123° 11.750,56.04,-125.27
G11200,Crawford Mtn,"Jul 1, 2021",15,54° 46.858,122° 18.455,57.15,-123.56
G41269,3NM North of Big Bend,"Jul 2, 2021",600,53° 35.972,124° 48.838,56.28,-127.13
G51212,5km N Elliot Lake,"Jul 1, 2021",15,55° 04.358,125° 14.942,56.06,-127.85
G61132,Klawli Lake,"Jun 30, 2021",10,55° 23.350,124° 35.060,56.36,-124.75
G61192,Jackfish Creek (Omineca Provincial Park),"Jul 1, 2021",30,55° 47.290,124° 32.600,56.59,-126.20
G61199,Mesilinka River,"Jul 1, 2021",30,56° 23.230,125° 01.620,57.02,-126.74
G61266,East of hwy 97 20 km N of hwy 39 junction,"Jul 2, 2021",36,55° 06.120,122° 53.700,55.43,-124.83
G61316,Black Pine,"Jul 2, 2021",500,56° 17.360,125° 30.120,57.28,-125.83
G61318,Black Pine,"Jul 2, 2021",5,56° 21.460,125° 30.060,57.63,-125.67
G61381,Forres Mountain,"Jul 4, 2021",70,56° 47.220,125° 42.650,57.39,-127.51
G61399,Pine Pass,"Jul 4, 2021",0.09,55° 14.039,122° 23.318,55.34,-123.27
