Country Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,24985.01392,24712.49326,26441.61994,26893.01151,28396.90842,28452.17061,29350.80502,30253.27936,,
Africa Eastern and Southern,1682.29,1667.99,1648.87,1654.31,1503.86,1401.28,1536.21,1530.16,1481.43,1326.66
Afghanistan,591.16,641.87,637.17,613.86,578.47,509.22,519.89,493.76,507.1,508.81
Africa Western and Central,1827.52,1936.39,2123.39,2166.74,1886.25,1666.42,1606.98,1695.96,1772.34,1714.43
Angola,4615.47,5100.1,5254.88,5408.41,4166.98,3506.07,4095.81,3289.64,2809.63,1895.77
Albania,4437.14,4247.63,4413.06,4578.63,3952.8,4124.06,4531.02,5284.38,5355.85,5215.28
Andorra,43334.81,38686.46,39540.72,41303.93,35770.78,37475.64,38964.9,41791.97,40897.33,
Arab World,6870.1,7455.04,7505.17,7436.58,6346.03,6093.33,6095.66,6568.98,6570.17,5802.1
United Arab Emirates,39194.67,40976.49,42412.64,43751.81,38663.4,38141.87,40644.79,43839.32,43103.34,
Argentina,12848.86,13082.66,13080.25,12334.8,13789.06,12790.24,14613.04,11633.5,9912.28,8441.92
Armenia,3525.81,3681.84,3838.17,3986.23,3607.29,3591.83,3914.53,4220.54,4622.74,4267.45
American Samoa,10223.3,11496.52,11450.72,11525.16,12059.64,12038.25,11003.83,11557.67,11534.57,
Antigua and Barbuda,12746.63,13272.73,12910.59,13501.58,14285.33,15198.74,15383.58,16673.44,17113.35,14450
Australia,62517.83,68012.15,68150.11,62510.79,56755.72,49971.13,54027.97,57354.96,55057.2,51812.15
Austria,51442.28,48564.92,50731.13,51786.38,44195.82,45307.59,47426.51,51478.29,50121.55,48105.36
Azerbaijan,7189.69,7496.29,7875.76,7891.31,5500.31,3880.74,4147.09,4739.84,4805.75,4214.31
Burundi,249.58,252.36,256.98,274.86,305.55,282.19,293,271.75,261.25,274.01
Belgium,47410.57,44670.56,46757.95,47764.07,41008.3,42012.62,44198.48,47577.98,46414.44,44594.38
Benin,1130.27,1145.14,1251.21,1291.41,1076.8,1087.29,1136.59,1240.83,1219.52,1291.04
Burkina Faso,751.17,758,787.47,792.85,653.33,688.25,735,813.1,786.9,830.93
Bangladesh,861.76,883.12,981.86,1118.87,1248.45,1401.56,1563.77,1698.13,1855.69,1968.79
Bulgaria,7809.43,7395.85,7655.13,7876.87,7055.94,7548.86,8334.08,9427.73,9828.15,9975.78
Bahrain,22514.2,23654.37,24744.3,24989.44,22634.09,22608.45,23742.94,23991.04,23443.43,
