Entity,Month,Total
Afghanistan,6,0.44
Africa,6,0.91
Albania,6,11.92
Andorra,6,25.42
Angola,6,1.47
Anguilla,6,39.78
Antigua and Barbuda,6,24.84
Argentina,6,7.60
Armenia,6,0.40
Aruba,6,51.96
Asia,6,6.13
Australia,6,3.11
Austria,6,25.40
Azerbaijan,6,10.11
Bahamas,6,5.70
Bahrain,6,52.00
Bangladesh,6,2.58
Barbados,6,22.49
Belarus,6,3.62
Belgium,6,27.78
Belize,6,4.20
Benin,6,0.06
Bermuda,6,58.09
Bolivia,6,4.12
Bosnia and Herzegovina,6,3.33
Botswana,6,1.95
Brazil,6,11.29
British Virgin Islands,6,26.46
Brunei,6,2.72
Bulgaria,6,10.20
Cambodia,6,15.16
Cameroon,6,0.07
Canada,6,15.71
Cape Verde,6,0.64
Cayman Islands,6,63.01
Chile,6,48.26
China,6,15.51
Colombia,6,8.80
Comoros,6,4.74
Cook Islands,6,28.22
Costa Rica,6,14.45
Croatia,6,18.97
Cuba,6,5.42
Curacao,6,45.51
Cyprus,6,30.49
Czechia,6,21.80
Democratic Republic of Congo,6,0.00
Denmark,6,27.06
Djibouti,6,0.89
Dominica,6,24.82
Dominican Republic,6,19.23
Ecuador,6,6.20
Egypt,6,0.62
El Salvador,6,15.19
England,6,45.10
Equatorial Guinea,6,7.46
Estonia,6,23.99
Eswatini,6,0.81
Europe,6,22.50
European Union,6,25.94
Faeroe Islands,6,32.54
Fiji,6,1.97
Finland,6,13.46
France,6,22.79
French Polynesia,6,19.33
Gabon,6,0.52
Gambia,6,0.45
Georgia,6,1.72
Germany,6,27.76
Ghana,6,1.23
Gibraltar,6,114.98
Greece,6,27.99
Greenland,6,16.70
Grenada,6,9.03
Guatemala,6,0.75
Guinea,6,0.91
Guinea-Bissau,6,0.05
Guyana,6,11.33
High income,6,26.96
Honduras,6,0.58
Hong Kong,6,16.44
Hungary,6,44.54
Iceland,6,41.34
India,6,3.54
Indonesia,6,4.38
Iran,6,1.20
Iraq,6,0.52
Ireland,6,20.25
Isle of Man,6,40.65
Israel,6,59.48
Italy,6,24.92
Jamaica,6,1.47
Japan,6,6.91
Jersey,6,50.37
Jordan,6,8.96
Kazakhstan,6,7.95
Kenya,6,0.27
Kosovo,6,1.54
Kyrgyzstan,6,0.93
Laos,6,5.31
Latvia,6,23.35
Lebanon,6,5.01
Liberia,6,0.02
Liechtenstein,6,28.37
Lithuania,6,30.50
Low income,6,0.11
Lower middle income,6,2.56
Luxembourg,6,27.04
Macao,6,12.80
Malawi,6,0.13
Malaysia,6,4.74
Maldives,6,33.29
Mali,6,0.21
Malta,6,61.08
Mauritania,6,0.16
Mauritius,6,16.96
Mexico,6,12.33
Moldova,6,4.50
Monaco,6,39.04
Mongolia,6,49.05
Montenegro,6,18.72
Montserrat,6,24.20
Morocco,6,20.19
Mozambique,6,0.28
Myanmar,6,2.81
Namibia,6,0.63
Nauru,6,16.74
Nepal,6,2.47
Netherlands,6,29.63
New Caledonia,6,16.35
New Zealand,6,6.91
Niger,6,0.08
Nigeria,6,0.27
North America,6,29.26
North Macedonia,6,8.54
Northern Ireland,6,40.88
Norway,6,25.32
Oceania,6,3.03
Oman,6,3.73
Pakistan,6,1.29
Palestine,6,5.47
Panama,6,10.34
Papua New Guinea,6,0.01
Paraguay,6,1.64
Peru,6,6.56
Philippines,6,1.79
Poland,6,26.80
Portugal,6,26.29
Qatar,6,42.88
Romania,6,21.73
Russia,6,10.10
Rwanda,6,1.76
Saint Kitts and Nevis,6,21.73
Saint Lucia,6,11.22
Samoa,6,1.59
San Marino,6,64.51
Sao Tome and Principe,6,5.09
Scotland,6,45.04
Senegal,6,0.66
Serbia,6,33.17
Seychelles,6,67.81
Sierra Leone,6,0.17
Singapore,6,34.32
Sint Maarten (Dutch part),6,35.55
Slovakia,6,22.31
Slovenia,6,27.04
Solomon Islands,6,0.54
Somalia,6,0.20
South Africa,6,0.81
South America,6,10.83
South Korea,6,6.76
South Sudan,6,0.02
Spain,6,28.68
Sri Lanka,6,2.80
Sudan,6,0.20
Suriname,6,4.57
Sweden,6,26.09
Switzerland,6,28.00
Syria,6,0.03
Taiwan,6,0.14
Tajikistan,6,0.15
Thailand,6,2.74
Timor,6,0.84
Togo,6,0.75
Tonga,6,1.28
Trinidad and Tobago,6,2.15
Tunisia,6,3.36
Turkey,6,16.59
Turks and Caicos Islands,6,39.80
Ukraine,6,0.72
United Kingdom,6,44.31
United States,6,43.55
Upper middle income,6,10.00
Uruguay,6,37.35
Uzbekistan,6,3.29
Venezuela,6,0.70
Vietnam,6,0.09
Wales,6,45.06
Wallis and Futuna,6,37.29
World,6,8.80
Zambia,6,0.04
Zimbabwe,6,2.90
Grand Total,,18.16
